Seed,Explainer,Lambda_1,Lambda_2,AUP,AUR,Information,Entropy
42,augmented_occlusion,1.0,1.0,0.867 ± 0.006,0.351 ± 0.006,3.03e+04 ± 6.01e+02,3.40e+04 ± 2.32e+02
42,deep_lift,1.0,1.0,0.931 ± 0.003,0.328 ± 0.009,2.98e+04 ± 8.90e+02,3.00e+04 ± 2.86e+02
42,dyna_mask,1.0,1.0,0.376 ± 0.003,0.771 ± 0.002,1.05e+05 ± 3.46e+02,2.53e+04 ± 5.92e+01
42,extremal_mask,1.0,1.0,0.904 ± 0.010,0.760 ± 0.004,2.93e+05 ± 4.51e+03,7.51e+03 ± 1.83e+02
42,fit,1.0,1.0,0.474 ± 0.034,0.576 ± 0.067,7.72e+04 ± 8.51e+03,3.30e+04 ± 1.62e+03
42,gradient_shap,1.0,1.0,0.886 ± 0.004,0.283 ± 0.007,2.55e+04 ± 6.97e+02,2.78e+04 ± 2.82e+02
42,integrated_gradients,1.0,1.0,0.931 ± 0.003,0.323 ± 0.008,2.92e+04 ± 8.17e+02,2.99e+04 ± 2.93e+02
42,occlusion,1.0,1.0,0.919 ± 0.003,0.283 ± 0.005,2.56e+04 ± 5.30e+02,2.77e+04 ± 2.12e+02
42,retain,1.0,1.0,0.681 ± 0.113,0.280 ± 0.049,2.23e+04 ± 4.85e+03,2.95e+04 ± 2.67e+03
